     acc_x    ,     acc_y    ,     acc_z     
   -0.020020  ,    0.743896  ,   -0.690674  
   -0.027832  ,    0.747803  ,   -0.690186  
   -0.030029  ,    0.755127  ,   -0.678955  
   -0.030273  ,    0.763672  ,   -0.679443  
   -0.024170  ,    0.752441  ,   -0.668457  
   -0.018555  ,    0.733398  ,   -0.662842  
   -0.012939  ,    0.729980  ,   -0.666504  
   -0.011963  ,    0.732422  ,   -0.672119  
   -0.009033  ,    0.738037  ,   -0.672119  
   -0.011475  ,    0.747559  ,   -0.675293  
   -0.022461  ,    0.756104  ,   -0.678711  
   -0.030762  ,    0.752930  ,   -0.682129  
   -0.030273  ,    0.751221  ,   -0.679199  
   -0.030273  ,    0.746582  ,   -0.673096  
   -0.021240  ,    0.739746  ,   -0.669678  
   -0.016846  ,    0.736816  ,   -0.668701  
   -0.010254  ,    0.737305  ,   -0.673340  
   -0.010742  ,    0.745605  ,   -0.676270  
   -0.013672  ,    0.750000  ,   -0.675293  
   -0.021484  ,    0.749512  ,   -0.674561  
   -0.028809  ,    0.748291  ,   -0.676025  
   -0.026611  ,    0.750732  ,   -0.678711  
   -0.027100  ,    0.746582  ,   -0.672119  
   -0.021484  ,    0.743896  ,   -0.671875  
   -0.018799  ,    0.741455  ,   -0.670410  
   -0.016357  ,    0.740479  ,   -0.670410  
   -0.017090  ,    0.746582  ,   -0.675293  
   -0.018555  ,    0.747803  ,   -0.674316  
   -0.021240  ,    0.743896  ,   -0.673584  
   -0.021973  ,    0.748291  ,   -0.674072  
   -0.021729  ,    0.748291  ,   -0.673828  
   -0.022949  ,    0.745605  ,   -0.670654  
   -0.019531  ,    0.742432  ,   -0.673584  
   -0.018555  ,    0.744385  ,   -0.675537  
   -0.020020  ,    0.740234  ,   -0.675537  
   -0.019043  ,    0.742432  ,   -0.677490  
   -0.017822  ,    0.744629  ,   -0.678711  
   -0.020264  ,    0.746826  ,   -0.674316  
   -0.022705  ,    0.746582  ,   -0.675049  
   -0.023438  ,    0.745361  ,   -0.676514  
   -0.019287  ,    0.742432  ,   -0.676025  
   -0.020020  ,    0.742676  ,   -0.675049  
   -0.021729  ,    0.741211  ,   -0.674561  
   -0.019775  ,    0.743652  ,   -0.676758  
   -0.023926  ,    0.746338  ,   -0.676514  
   -0.021973  ,    0.750488  ,   -0.680664  
   -0.019287  ,    0.737793  ,   -0.674316  
   -0.019287  ,    0.742188  ,   -0.673340  
   -0.018555  ,    0.748047  ,   -0.675049  
   -0.017822  ,    0.740967  ,   -0.670654  
   -0.018799  ,    0.744141  ,   -0.677979  
   -0.017334  ,    0.744385  ,   -0.677734  
   -0.019775  ,    0.743408  ,   -0.677979  
   -0.024170  ,    0.745850  ,   -0.681641  
   -0.025879  ,    0.745361  ,   -0.680664  
   -0.028076  ,    0.740234  ,   -0.679199  
   -0.024658  ,    0.739746  ,   -0.677002  
   -0.020996  ,    0.738770  ,   -0.674561  
   -0.016846  ,    0.743896  ,   -0.673340  
   -0.016113  ,    0.744141  ,   -0.672119  
   -0.016357  ,    0.743164  ,   -0.673340  
   -0.019531  ,    0.744873  ,   -0.677002  
   -0.022217  ,    0.740967  ,   -0.679688  
   -0.024414  ,    0.739990  ,   -0.681641  
   -0.025391  ,    0.746094  ,   -0.682617  
   -0.026611  ,    0.744141  ,   -0.680176  
   -0.025146  ,    0.743652  ,   -0.676514  
   -0.023193  ,    0.742188  ,   -0.672363  
   -0.017822  ,    0.742920  ,   -0.673584  
   -0.016846  ,    0.743896  ,   -0.678467  
   -0.020996  ,    0.741943  ,   -0.678467  
   -0.020508  ,    0.739502  ,   -0.676270  
   -0.021729  ,    0.742432  ,   -0.677490  
   -0.022705  ,    0.742188  ,   -0.676514  
   -0.022461  ,    0.743164  ,   -0.678711  
   -0.023193  ,    0.742676  ,   -0.678467  
   -0.021484  ,    0.740479  ,   -0.676270  
   -0.020996  ,    0.740479  ,   -0.676758  
   -0.020264  ,    0.739746  ,   -0.676270  
   -0.019531  ,    0.741455  ,   -0.680908  
   -0.022217  ,    0.742432  ,   -0.678467  
   -0.021973  ,    0.740234  ,   -0.677002  
   -0.020020  ,    0.743652  ,   -0.676758  
   -0.018799  ,    0.743164  ,   -0.679688  
   -0.021484  ,    0.737549  ,   -0.674805  
   -0.022217  ,    0.742676  ,   -0.688232  
   -0.027588  ,    0.751465  ,   -0.686279  
   -0.026123  ,    0.742432  ,   -0.675049  
   -0.019531  ,    0.728760  ,   -0.666504  
   -0.015381  ,    0.751953  ,   -0.678223  
   -0.013916  ,    0.750488  ,   -0.676270  
   -0.010986  ,    0.736328  ,   -0.680420  
   -0.013184  ,    0.757324  ,   -0.730469  
